area_name,region
Alabama,Southeast
Alaska,West
Arizona,Southwest
Arkansas,Southeast
California,West
Colorado,West
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeast
Florida,Southeast
Georgia,Southeast
Hawaii,West
Idaho,West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Kentucky,Midwest
Louisiana,Southeast
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,Southeast
Missouri,Midwest
Montana,West
Nebraska,Midwest
Nevada,West
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,Southwest
New York,Northeast
North Carolina,Southeast
North Dakota,Midwest
Ohio,Midwest
Oklahoma,Southwest
Oregon,West
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,Northeast
South Dakota,Midwest
Tennessee,Southeast
Texas,Southwest
Utah,West
Vermont,Northeast
Virginia,Southeast
Washington,West
West Virginia,Southeast
Wisconsin,Midwest
Wyoming,West
Puerto Rico,Southeast
